OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude,matched,match_idx,match_distance,Source,ACTUAL_TEXT,AGREEMENT_CONTACT_INFO,CC_LATITUDE,CC_LONGITUDE,CC_OWNER_ID_SECTION,CC_SIGN_AGE,CC_SIGN_BACKGRD_COLOR_ID,CC_SIGN_BCK_STAMP,CC_SIGN_BORDER_COLOR_ID,CC_SIGN_COMP_CLASS_ID,CC_SIGN_DESCRIPTON,CC_SIGN_DIMENSIONS,CC_SIGN_DIR_ID,CC_SIGN_DIST_ED_OF_PAVE,CC_SIGN_FACI_ID,CC_SIGN_FAC_TYP_SIGN_ID,CC_SIGN_FUNC_LOC_ID,CC_SIGN_GROUND_MOUND_TYP_ID,CC_SIGN_INSPECTION_CMT_ID,CC_SIGN_INSPECTION_COND_ID,CC_SIGN_INSP_DATE,CC_SIGN_INT_LOC_ID,CC_SIGN_ITS_TYP_ID,CC_SIGN_LEGEND_COLOR_ID,CC_SIGN_MATERIAL_ID,CC_SIGN_MIN_LOC_ID,CC_SIGN_MM,CC_SIGN_MSR_ID,CC_SIGN_NOMENCLATURE_ID,CC_SIGN_NO_POST_GRD_MNT_ID,CC_SIGN_PENNDOT_MAT_NUM_ID,CC_SIGN_POST_MSR_ID,CC_SIGN_PTC_MAT_NUM_ID,CC_SIGN_PTC_PENNDOT_NUM_ID,CC_SIGN_RECON_COMM,CC_SIGN_RECON_PROJ,CC_SIGN_REFLECTIVITY_ID,CC_SIGN_SAP_EQIP_NBR,CC_SIGN_SHEETING_ID,CC_SIGN_SIZE,CC_SIGN_STATION,CC_SIGN_STR_MOUNT_TYPE_ID,CC_SIGN_TMP_OBJECTID,CC_SIGN_TMP_PHOTOB,CC_SIGN_TMP_PHOTOF,CC_SIGN_TP_LANE,COMMENT_ID,COMMENT_STR,DATE_UPDATE,EASTING,FABRICATION_AGREEMENT,INSTALL_AGREEMENT,INTERFACE_TRIGGER_DATE,IS_BREAKAWAY,JURISDICTION,LAT,LOAD_DATE,LOC_IDENT,NORTHING,NOTES,ORIGIN,ORIG_KEY,OWNER_ID,OWNER_NET,PERIODIC_MAINT_ID,POSITION_NAME,QA_DATA_FLAG,QA_PHOTO_FLAG,READABLE_TRAVEL_DIR,REPLACED,RETIRED,SIGN_CLASS_CODE_ID,SIGN_CURRENT_CONDITION,SIGN_NAME,SIGN_STATUS_ID,SIGN_SUPPORT_H_ID,SIGN_SUPPORT_ID,SIZE_HEIGHT,SIZE_UNIT_ID,SIZE_WIDTH,SUP_EXT_CD,SYMBOL,TRAVEL_DIRECTION,USER_UPDATE,VARIABLE_SIGN_HEIGHT,VARIABLE_SIGN_WIDTH
34284,,,,,,,,,,,,,,False,-1,,File 2,,,40.21987871,-79.60106276,1527.0,,8.0,0.0,7.0,2.0,Yield Sign,,14.0,,1093.0,2.0,1130.0,6.0,,2.0,,4.0,,7.0,3.0,7.0,75.39,62276.0,5814.0,2.0,,21968.0,,2385.0,,,1.0,1041463.0,1.0,36 X 36,,,,,PTC_20085_Signs_Deployments_1_and_2_Images\D1\8290.jpg,,128263.0,,2023/03/21 00:00:00+00,,,,2022/11/02 00:00:00+00,,,,2022/08/09 00:00:00+00,44570709.0,,,,,1520.0,,,,,,,,,100336.0,,N/A/Ramp/ExitOutside/075.39/YieldSign#389181,1185.0,,,36.0,,36.0,,,,LRS_POST,,
34285,,,,,,,,,,,,,,False,-1,,File 2,,,40.21950525,-79.60089666,1527.0,,9.0,0.0,11.0,1.0,Chevron Alignment Sign,12.0,14.0,,1093.0,2.0,1130.0,10.0,,2.0,,2.0,,1.0,3.0,7.0,75.39,62281.0,6212.0,2.0,,21959.0,,2992.0,,,,1041464.0,1.0,36 X 48,,,,,PTC_20085_Signs_Deployments_1_and_2_Images\D1\8299.jpg,,128264.0,,2023/03/21 00:00:00+00,,,,2022/11/02 00:00:00+00,,,,2022/08/09 00:00:00+00,44570714.0,,,,,1520.0,,,,,,,,,100345.0,,N/A/Ramp/EnterOutsid/075.39/ChevronAlignmentSign#389186,1185.0,,,48.0,,36.0,,,,LRS_POST,,
34286,,,,,,,,,,,,,,False,-1,,File 2,,,40.22283281,-79.6031662,1527.0,,4.0,0.0,11.0,5.0,Toll Lane Number Sign (10),,14.0,,1093.0,,1130.0,9.0,,2.0,,,,8.0,3.0,9.0,75.39,62285.0,5085.0,1.0,,22004.0,,1153.0,,,,1042679.0,1.0,21 X 21,,,,,PTC_20085_Signs_Deployments_1_and_2_Images\D1\8308.jpg,,128267.0,,2023/03/21 00:00:00+00,,,,2022/12/15 00:00:00+00,,,,2022/08/09 00:00:00+00,44570718.0,,,,,1520.0,,,,,,,,,100329.0,,N/A/TollPlaza//075.39/TollLaneNumberSign(10)#389190,1185.0,,,21.0,,21.0,,,,LRS_POST,,
34472,,,,,,,,,,,,,,False,-1,,File 2,,,40.309525,-79.677301,1530.0,3Y-10M-14D,9.0,0.0,1.0,1.0,Right Added Lane Sign,16.0,2.0,,1091.0,3.0,1129.0,6.0,11.0,2.0,2017/10/15 00:00:00+00,1.0,4.0,1.0,3.0,8.0,67.22,904267.0,6265.0,3.0,,3736.0,,3089.0,,,1.0,1044593.0,1.0,48 X 48,,8.0,,,,0.0,139567.0,,2024/02/28 00:00:00+00,,,,2023/05/01 00:00:00+00,,,,2017/10/30 00:00:00+00,45462020.0,,,2019/06/14 00:00:00+00,,1520.0,,,,,,,,,100345.0,,EBAccel/Shoulder/EnterInside/067.22/RightAddedLaneSign#404168,1185.0,,,48.0,,48.0,,,,LRS_POST,,
34475,,,,,,,,,,,,,,False,-1,,File 2,,,40.3438003,-79.69118958,1530.0,0Y-0M-0D,8.0,0.0,1.0,2.0,Emergency Pull-Off Arrow Sign,12.0,1.0,,,3.0,1014.0,6.0,11.0,2.0,2017/10/12 00:00:00+00,5.0,4.0,1.0,3.0,8.0,64.91,906853.0,7005.0,3.0,,2761.0,,1225.0,,,3.0,1044661.0,1.0,48 X 36,,8.0,,,,0.0,141939.0,,2024/02/28 00:00:00+00,,,,2023/08/02 00:00:00+00,,,,2017/10/30 00:00:00+00,45469298.0,,,2023/08/01 00:00:00+00,,1520.0,,,,,,,,,100336.0,,EB/Shoulder/N/A/064.91/EmergencyPull-OffArrowSign#406754,1185.0,,,36.0,,48.0,,,,LRS_POST,,
34522,,,,,,,,,,,,,,False,-1,,File 2,,,40.31410207,-79.67989339,1530.0,,2.0,0.0,8.0,5.0,Lodging,,14.0,,1091.0,2.0,1129.0,6.0,,2.0,,4.0,,8.0,3.0,7.0,67.22,62159.0,7002.0,2.0,,22061.0,,,,,,1041444.0,1.0,36 X 12,,,,,PTC_20085_Signs_Deployments_1_and_2_Images\D1\7949.jpg,,129079.0,,2023/03/21 00:00:00+00,,,,2022/11/02 00:00:00+00,,,,2022/08/09 00:00:00+00,44570592.0,,,,,1520.0,,,,,,,,,100343.0,,N/A/Ramp/ExitOutside/067.22/Lodging#389064,1185.0,,,12.0,,36.0,,,,LRS_POST,,
34539,,,,,,,,,,,,,,False,-1,,File 2,,,40.22291882,-79.60307431,1527.0,,8.0,0.0,1.0,2.0,Keep Moving Sign,7.5,14.0,,1093.0,2.0,1130.0,5.0,,2.0,,3.0,,1.0,3.0,9.0,75.39,63491.0,7044.0,2.0,,,,4058.0,,,1.0,1040822.0,1.0,36 X 30,,,,,PTC_20085_Signs_Deployments_1_and_2_Images\D1\12095.jpg,,126958.0,,2023/03/21 00:00:00+00,,,,2022/10/19 00:00:00+00,,,,2022/08/09 00:00:00+00,44571923.0,,,,,1520.0,,,,,,,,,100336.0,,N/A/TollPlaza/ExitInside/075.39/KeepMovingSign#390395,1185.0,,,30.0,,36.0,,,,LRS_POST,,
34592,,,,,,,,,,,,,,False,-1,,File 2,,,40.226411,-79.61014,1530.0,0Y-0M-0D,9.0,0.0,1.0,1.0,Right Turn Sign,16.0,1.0,,,3.0,1014.0,6.0,11.0,2.0,2017/10/13 00:00:00+00,5.0,4.0,1.0,3.0,8.0,74.96,904268.0,6125.0,3.0,,3086.0,,2929.0,,,3.0,,1.0,48 X 48,,8.0,,,,0.0,139568.0,,2023/04/28 00:00:00+00,,,,2023/04/28 00:00:00+00,,,,2017/10/30 00:00:00+00,45462022.0,,,,,1520.0,,,,,,,,,100345.0,,EB/Shoulder/N/A/074.96/RightTurnSign#404169,1201.0,,,48.0,,48.0,,,,EHALIN,,
34603,,,,,,,,,,,,,,False,-1,,File 2,,,40.31531471,-79.67990484,1530.0,,7.0,0.0,8.0,2.0,Wrong Way Sign,,14.0,,1091.0,2.0,1129.0,9.0,,2.0,,4.0,,8.0,3.0,7.0,67.22,62168.0,5975.0,1.0,,22067.0,,2610.0,,,1.0,1041446.0,1.0,48 X 30,,,,,PTC_20085_Signs_Deployments_1_and_2_Images\D1\7958.jpg,,127942.0,,2023/03/21 00:00:00+00,,,,2022/11/02 00:00:00+00,,,,2022/08/09 00:00:00+00,44570601.0,,,,,1520.0,,,,,,,,,100336.0,,N/A/Ramp/ExitOutside/067.22/WrongWaySign#389073,1185.0,,,30.0,,48.0,,,,LRS_POST,,
34619,,,,,,,,,,,,,,False,-1,,File 2,,,40.27461547,-79.66840931,1530.0,,8.0,0.0,1.0,2.0,No Trucks Buses Trailers Left Lane Sign,20.0,1.0,,,3.0,1014.0,10.0,,2.0,,,,1.0,3.0,3.0,69.98,65928.0,5948.0,2.0,,,,2593.0,,,,1041968.0,1.0,48 X 60,,,,,PTC_20085_Signs_Deployments_1_and_2_Images\D2\8885.jpg,,131471.0,,2023/03/21 00:00:00+00,,,,2022/11/21 00:00:00+00,,,,2022/08/09 00:00:00+00,44574359.0,,,2021/09/27 00:00:00+00,,1520.0,,,,,,,,,100336.0,,EB/Median//069.98/NoTrucksBusesTrailersLeftLaneSign#392831,1185.0,,,60.0,,48.0,,,,LRS_POST,,
