OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation
86,1430816.162804036,362360.4177988282,1097.470851826985,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-d39feb01-36a5-4282-bf22-bfeea81b2f12,WEST,M3-4,0.7454378488535683,1.556977566331625,,91.68124976697209
87,1430816.329408854,362360.3473121745,1095.311947751363,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-ba17c356-6e59-4beb-8bb3-2adb17b30428,76,M1-1,0.983663184841474,3.168822193543117,,76.7404206732711
88,1460180.457365397,323500.0266928711,1048.69568947347,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-275b069a-510d-422e-9e79-1eddee85a505,35,R2-1,2.102066819220782,2.430771893461546,,-65.01028205439016
89,1429118.914670898,367516.6126311849,1090.766159329732,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-01616907-99bd-4dab-93a2-54a819d126a9,EXIT 67,E1-5P,9.207062567075095,2.848244102497896,,-34.21898737133023
90,1458136.264311198,324666.7666391602,1016.228375376383,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-f1445781-1113-42f3-a362-e3b1917a4e04,Interstate 76 West Pittsburgh Cleveland ↓,D1-1,13.43743197441101,8.7037649255991,,123.72159425499831
91,1446301.811479167,333771.3610857747,1064.874879562378,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-d1dd56e5-2886-4076-a095-6e9815dce6f9,14.2,D10-1,12.05841556966305,2.515827238559723,,-49.65711547313985
92,1446294.756405924,333763.2679363607,1066.794339274088,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-63ba9d6a-4763-4a0b-a53e-a98285915348,"MILE
742",D10-1,14.19233502388001,3.556032590468725,,110.67239980477487
93,1428306.344527669,369112.2318255209,1022.813370722453,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-acc394c6-5cb3-4d47-86ba-6419325a37a9,"MILE
65.9",D10-1,0.9784624553223452,3.632442932724953,,142.13279742921688
94,1440458.089827148,339833.2325229492,1058.074369270324,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2e3fe53c-2e39-480f-ac86-fe6413ffe7ef,"MILE
72.5",D10-1,1.045029739861687,2.81287190631032,,-17.295554909066354
95,1450368.705566081,329606.1285052084,978.1844055480955,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-7ffc8dc4-2f34-41f5-8192-41d9eb5a0a4e,NOTICE UNATTENDED VEHICLES REMOVED AFTER 24 HOURS,R10-14,2.460283955732982,2.463449957271417,,-31.305699214746735
96,1429121.202283203,367518.1056666667,1084.187071245829,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-dafa6c43-1a0f-4d80-bab1-bd0fa370b2a7,"EXIT 67
IRWIN
30
Irwin
Greensburg
1 MILE",E1-1,14.19680458108584,15.33871621688207,,145.67202855886046
97,1427447.746599609,370424.6676848959,990.0048872044879,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b9d7d01a-cd7d-413d-8bcf-8035e1be6346,"MILE
65.6",D10-1,1.065456316371759,3.228988738159339,,-24.51407838310786
98,1427447.323679687,370424.3665146484,989.0182242380777,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-98814aed-6a57-4f01-b630-411fc083a165,656,D10-1,0.4352313461403052,3.425577291746935,,1.5459442685993536
99,1497332.590002523,303998.2919923502,1586.954054100037,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-03e94913-6f25-4202-a08b-d9d7c467dfcd,"NEXT
2 MILES",W7-3a,5.717448347608249,1.865319325427214,,23.511501187680086
100,1497341.58345874,303991.9145521647,1591.278895898183,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2bcce331-9fde-41cf-8015-f6aedb0dc898,,W7-1,2.642937213728826,3.430465723276139,,-78.168633790792
101,1466168.545295898,319307.4228631185,1060.355824005127,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-1501bc6b-c9ed-45ab-9a90-7b023573ec39,SR 819,M1-5,6.200320879220963,3.261443089445432,,71.41526958274423
102,1497337.204475383,303997.0720926514,1587.26220793279,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-72dfcebc-f921-4252-9c97-72d0a3f88f78,"NEXT
2 MILES",W16-4P,15.22510467211406,2.597681382596493,,-136.35129401213536
103,1497338.084757568,304000.4170047608,1587.483655171712,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-232f2f7d-e7c0-48f8-9f97-93e5631b44f1,NEXT 2 MILES,W16-4P,3.706002895832062,1.918714850693941,,-74.90473395472733
104,1497341.601881388,303992.6090059001,1591.299871685028,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-0e3d2f73-9c55-4709-a109-74bd2248f193,,W7-1,0.5301320467020075,5.588108873764675,,-164.40673496601434
105,1456025.528652018,325625.4139641927,998.7426290562946,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-aa3abdfd-2e04-4d90-a8e4-97947d7d1807,TOLL,M4-3,3.331953991651535,0.67300529713432,,-90.00000553766218
106,1499284.201240112,301909.4768814697,1664.175762569427,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-92d9bc84-414a-41c5-88a3-3014f0bab3b4,"MILE
867.7",D10-1,0.6073684044306478,4.326207539637884,,78.51245887462787
107,1439494.114351888,343664.0636028646,1133.953902720133,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6cbbf913-96e6-47d2-b8ed-803696e73015,"MILE
7
1
.7",D10-1,0.7504910825937987,3.796473491986593,,59.44087768785447
108,1453601.822638835,326099.3726311849,1041.851074961344,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-29d3a2e5-9171-497a-be89-2f16508eb6a7,"MILE
7
6.2",D10-1,7.218914506236713,4.596495290001234,,88.24635619982067
109,1436589.237605469,344593.266730306,1047.711028968811,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-ff61dc17-d67c-45da-9ac5-5a1b576d0624,MILE 71.1,D10-1,18.06985033313434,4.137495074868203,,90.81245911355353
110,1431860.960839518,360515.0964300131,1149.47993984731,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-1be6c287-ce49-4e75-9355-cd7bd4c7e03b,,OM3,2.87199263398846,3.5681654749314,,30.531355120810538
111,1431844.870658854,360548.7826425781,1149.463970214844,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-bc3c7788-7f97-4143-a112-925bf84e06ab,,OM3,1.657870545685292,3.409441048204899,,17.316250129709324
112,1431833.70172819,360524.7531015625,1143.020649037679,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-0ad611a8-3ffa-4dcc-a5a6-0688788de1ec,,OM3,44.76080224990845,8.894669147332511,,-80.1857214497283
113,1431867.246967448,360561.2587802735,1145.046739837646,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b499b10e-97d3-469d-92e4-4902fa8ad389,,OM3,56.80468980312348,6.980932095845541,,165.36026920080127
114,1431840.526117838,360512.1103590495,1143.380491414388,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a1d570e5-81e0-4854-8a4d-4a322c7b0ae3,,OM3,49.58124081611634,6.024839132924876,,-173.0073330240056
115,1431887.470229167,360533.9740374349,1145.404429567973,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b3a42297-c3e2-4c2c-88f8-f0d97862dddc,,OM3,72.5263236395518,6.975205524563791,,-49.043929715829606
116,1431870.790523763,360539.5360751953,1145.181205144246,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-0e2af114-c428-43ef-8dd4-d3aa082d4802,,OM3,72.70571918169658,6.972255022327106,,-154.20391421366222
117,1450897.361876302,328911.3864153646,970.3775080413817,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-9440a2df-a89c-4d71-9fd7-0e5e6c0ff46b,,W1-1a,5.108986264665922,5.217743795216085,,-15.769397240389278
118,1431890.475523763,360528.8156959636,1164.813790707906,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c05ea766-1414-408f-b6ed-0deddadc96aa,WENDEL ROAD,D3-1,8.766179155309995,1.579819514552752,,-32.44431561337319
119,1431869.393606445,360545.2006389974,1144.803290550232,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-f2d27bc7-bbe1-4950-84da-a79205497c78,,OM3,49.29538001457851,7.131321666638057,,95.71398065596429
120,1431880.806036458,360525.2913632813,1145.056201469421,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6da4f4dd-83da-451a-82c8-c4d10ed9b9e4,,OM3,38.11064867575963,7.200347931186359,,-47.51376708644091
121,1498368.099018433,303359.8663358155,1615.46311456871,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e848c5d5-e57d-401a-b9da-bc7845feb62b,,W1-8R,2.413534295956294,3.317727908889453,,-40.715832057298904
122,1493594.041170939,302122.2744868571,1458.795150355021,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-35745cf7-d0a4-439d-812b-64b168b25897,,W1-8L,2.74044165233771,4.064893320997556,,86.2426012794017
123,1494566.539123413,303133.6402219238,1501.64405218633,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-777250a7-718c-493f-9a85-e8ebbc65f0b3,"MILE
85
6",D10-1,7.876789679527284,4.629781523346901,,-165.95511602453828
124,1494566.751384359,303131.7378832601,1500.638966571808,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-85031745-3bde-4415-b74a-3ffdec49d4f1,"MILE
8
5
.6",D10-1,6.375591819485029,4.972885353565217,,18.9056570662217
125,1453589.71815804,326108.8274545899,1041.95280001831,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-391481ff-7491-4e4d-8f2f-39e8500c49ad,MILE 76.2,D10-1,18.21539644956589,5.436505701641242,,52.596041932537396
126,1494572.943797078,303134.6638803711,1500.694209485372,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-3c21e6c7-63b2-4210-85eb-98d917e8678e,"MILE
85
5
.6",D10-1,12.15804977496465,4.878897151748339,,-139.84085113940574
127,1494564.254715047,303126.6756599528,1501.076529495239,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-03407ea3-e48b-4cda-aec8-53b208c69bc1,"MILE
8
5
.6",D10-1,20.27058239301046,5.379401515523593,,167.6102149671963
128,1428554.822797526,368686.6334108073,1036.804771224975,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-f0e693a6-baaa-4218-bde1-26fa0e8f9975,"WEST
76
MILE
66
.0",D10-1,1.449328722978632,4.916213339368503,,-35.33368181338268
129,1430688.12059375,379694.1752695313,1136.85216573588,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-000ec500-51c5-44a5-885f-6edae354884b,"PARK
BEHIND
LINE",R8-31,2.944450069814921,3.058248758713405,,42.01247881878069
130,1493298.914353109,302072.5517596029,1450.087220152537,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-22d070c3-b638-476b-b776-619479e68f90,,W1-8L,2.116317541648944,3.920888161460559,,98.6207194576936
131,1449850.180110352,330349.2372552084,998.5447858352659,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-428b36c1-55f0-4acc-84db-3ef012b6d8d2,NO U-TURN,R3-4,0.9563954832653205,3.196494494080544,,-136.14819740820752
132,1448082.240271484,331888.3261533203,1033.845533248901,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-eac9d20b-0d53-4da0-bd77-655da09a63a7,SPEED LIMIT 70,R2-1,2.60074315443635,4.607346911827724,,136.13357598372784
133,1506689.428148071,292449.3995675634,1835.945971040249,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-558dc1c8-db35-4b7c-9f8b-d4c0b7bd3423,MILE 89.1,D10-1,1.034683915625016,4.408598671952884,,144.9945065551233
134,1450518.464073568,329628.7354973959,989.0991236928302,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-8d639df2-1c53-4c45-92f9-197d12addc82,,W1-8,2.883065817256769,4.407728461523852,,-28.115225121309063
135,1449196.294648112,330751.8826523438,1009.62440670522,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-11abaaf7-c6b2-416e-ad49-2a90eca5cb6a,H,D9-2,2.178807645887137,2.512454342047374,,-57.20322826879501
136,1450895.471552409,328910.8000945638,966.6539304148355,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e3e9b825-3c21-4d76-8ef6-8d4f8d541882,20 MPH,W13-1P,2.600971951335669,2.309559989472231,,-74.04922531674876
137,1450895.336986979,328910.9186402995,975.2023395080564,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-331e9516-d6c5-406d-b332-7397e7c06544,,W20-1,0.7907441326354941,1.904696054011584,,-94.07671258078385
138,1451071.034583008,328593.7094752605,974.2907187957762,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-ec43e9de-a795-4761-8320-fdb2475aa14a,"MILE
7
5.5",D10-1,0.7098148071765901,4.179922624329726,,82.52768709300638
139,1427468.905411458,374056.127264974,1030.590131179809,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a9442754-248c-4b38-9084-145824d681a0,,M1-4,0.8877699066201847,0.3871007161897918,,42.77765481300186
140,1500836.519201538,300179.552577474,1750.19321544679,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2207e915-1c13-49df-b217-45a3f2f34150,Freeman Falls Rd,D3-1,8.929188146193823,2.918580375959476,,-55.10778377721677
141,1487559.844556152,303905.2760420329,1309.339815577189,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-16505750-d0df-4f82-8fbf-bee0d5019f9e,"MILE
84
4
.1",D10-1,0.5368102273096641,3.195692336062591,,40.51762790563734
142,1427532.939332357,370506.4257952474,990.1284891560871,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-1f5834f7-4be9-4778-8014-09d4fc813779,"MILE
65
.6",D10-1,0.7295913658291102,3.904874725143115,,137.93949855712177
143,1452817.08190804,327132.4506585287,1040.152536842346,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e9be6ef1-d399-4e97-bba1-a6d6d166eb5c,,W1-8L,2.398641377786796,3.89554841597875,,-35.72001730194429
144,1452817.290164063,327133.2003802083,1036.85022710673,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-34c37ffe-37f1-4d3d-bc05-27729fa722da,"Push Button
Wait For
Walk Signal",R10-3e,1.206512049213052,1.00973351597786,,87.30567169504617
145,1506300.96941649,292806.7561883774,1829.884308904131,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2e59cb72-692f-40b8-8c9c-13493ab84bf4,WEST 76 MILE 89 .0,D10-1,16.21706164677938,4.962657936612765,,121.49173109844402
146,1506308.181082241,292813.5216806196,1832.273659563382,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-7372c40e-9a42-4473-ad7a-d8b4eb8bcf5e,Interstate 76,M1-1,6.934967776536943,3.562274248103301,,-48.41695901540852
147,1499400.654403259,301614.7385412191,1675.775798217773,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a45b5a48-288f-4481-85ed-6b0c97e942e3,,W1-8R,2.913398419519266,3.926213458180428,,-34.168616144804794
148,1453604.164718099,326099.0746648763,1042.602799102783,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-3d345fdd-dbe9-48ee-af3f-4695a1bac792,"MILE
76
2",D10-1,6.077681047916413,4.307925298511982,,113.99744230563446
149,1453595.510879395,326104.4092229818,1042.012323193868,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2d6d649c-42db-455b-9ea6-c5a8b6af1b7e,MILE 76.2,D10-1,13.45813868045807,4.839629346132279,,-123.20001737886778
150,1453599.156961751,326100.8816863607,1041.562019607544,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-013f5c84-63d3-4a21-8762-8eafc309197c,MILE 76.2,D10-1,11.26809945344925,5.529389029542606,,68.50857932211136
151,1453593.155984375,326105.7196339518,1041.651229278564,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-f9290b07-1f5e-4885-afac-e1c027f52bb5,762,D10-1,12.99943335910638,4.965545861919722,,-121.28818849802046
152,1487488.287786947,303898.8529457194,1310.746645080566,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-349ce37b-5249-4597-8886-3a0bec3e1583,,W1-8L,0.8583279500653347,2.078860360383988,,-2.4180420905713166e-07
153,1446606.019060547,333281.8921510417,1055.986652709961,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-9ff65daf-1a0f-41b3-b41d-9933220bb9fe,"EXITS
Irwin 7
Pittsburgh 18",D1-1,10.84636067112287,7.589486479759217,,-42.149354832375295
154,1446603.071436849,333279.2264739583,1056.961050598144,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e55e0ed0-6735-49bb-9654-b52de0695fbc,"Irwin
Pittsburgh",D1-1,3.027360590646665,7.342885661721231,,-38.48366609278191
155,1453265.569261556,326493.7070110677,1048.758416587829,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-45a2d530-17cf-4966-b480-a9d22560d29c,MILE 76.1,D10-1,0.8789307197431724,3.619683105647564,,143.9209147658376
156,1440448.683062826,341814.2278842774,1139.385530158997,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-31ecc8aa-a87c-42eb-bc94-bb156e3198a1,CAUTION DRIVEWAY 500 FT,W16-13,2.250691916147868,1.620210576057434,,-177.16766089418485
157,1493396.467881755,302082.4246970215,1453.97830370458,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a3195bf7-2ba5-482e-a007-0e9afbd2927d,,W1-8L,2.816315006315708,4.186721216638883,,87.77139135432529
158,1500666.07005776,300373.209051473,1726.205094100952,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c3e130e7-2366-48a8-9f3f-66819b693c75,"MILE
8
7.1",D10-1,17.42897027174632,4.79717481036981,,-76.96318552638523
159,1500663.711558309,300362.9740689697,1725.268749243736,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-53dbfd7c-8e6e-4c0e-ba01-7aedbe9817d6,"MILE
87.1",D10-1,0.4817164228359859,3.622089579701424,,63.49849076549373
