OBJECTID,X,Y,Z,Layer,Text,MUTCD
76,3116108.827068359,1211963.207250718,5438.327338292182,Sign Face,,
77,3116186.097261433,1211866.300517218,5438.679657357515,Sign Face,120TH AVE,D3-1
78,3116203.050903604,1210333.642725266,5430.911052238524,Sign Face,,
79,3115076.387425821,1213089.063335923,5417.953356909336,Sign Face,Pedestrian Crossing,W11-2
80,3115166.709264098,1213204.907350205,5426.403007092059,Sign Face,RAILROAD CROSSING,R15-1
81,3115623.33101774,1211491.73884516,5453.87161894101,Sign Face,,
82,3115141.192694986,1213078.125889838,5420.784349725624,Sign Face,COMMERCE ST,D3-1
83,3115151.486549865,1213249.31874791,5419.806704094788,Sign Face,,
84,3115216.889754109,1211910.401132859,5452.116989208837,Sign Face,,W1-2
85,3112685.416856363,1214498.319021958,5436.799582000951,Sign Face,,M6-1L
86,3117331.228242471,1211924.596183722,5414.196238048455,Sign Face,NO TRAIN HORN,R15-1
87,3115140.754956847,1213042.554960272,5418.721207125564,Sign Face,,W1-8R
88,3111005.435149922,1214818.606371201,5428.993266459684,Sign Face,AHEAD,W11-15
89,3116203.078137084,1210333.622700649,5432.453579814017,Sign Face,,
90,3116064.083262003,1210753.707537176,5447.494285918455,Sign Face,,
91,3112202.581676919,1214492.894753566,5448.309636717618,Sign Face,,
92,3112271.588911823,1214493.316872504,5446.434173280776,Sign Face,NO PARKING,R7-1
93,3115500.604942911,1211691.182033128,5451.906532825411,Sign Face,,
94,3110782.730765512,1214941.088946681,5419.497389459988,Sign Face,,M6-1L
95,3115126.93917224,1213149.38389175,5420.176978045683,Sign Face,KEEP RIGHT,R4-7
96,3115830.8789694,1211151.06162938,5456.575934931815,Sign Face,SPEED LIMIT 35,R2-1
97,3116081.574364908,1211921.400655259,5439.214568081677,Sign Face,W 120TH AVE,D3-1
98,3115087.062148925,1212902.014184719,5423.598381065111,Sign Face,,R2-1
99,3115226.184380574,1212132.913481187,5448.86862235107,Sign Face,SPEED LIMIT 25,R2-1
100,3111318.406905649,1214612.058048448,5447.949831887066,Sign Face,SPEED LIMIT 35,R2-1
101,3112202.608509907,1214492.868321071,5447.572658829669,Sign Face,NO PARKING,R7-1
102,3110827.67601952,1214916.731001939,5423.536048185409,Sign Face,STOP HERE FOR,R1-5b
103,3115716.982148925,1211847.277130581,5442.968034014285,Sign Face,,R2-1
104,3115667.20815865,1214011.136898545,5402.822809106887,Sign Face,,W1-2
105,3117058.838977335,1211857.698742519,5423.930724010051,Sign Face,,D3-1
106,3110825.056399057,1214874.805059759,5422.918923890968,Sign Face,SPEED LIMIT 35,R2-1
107,3115500.681036457,1211691.251718797,5454.274051176091,Sign Face,,
108,3111440.436324035,1214493.906397243,5454.461376779656,Sign Face,,W1-8R
109,3112835.038395466,1214478.868710476,5436.748666282078,Sign Face,,W1-8R
110,3115603.358464233,1213888.389197129,5406.055908758223,Sign Face,,W2-1
111,3115603.330429768,1213888.339536078,5403.221004883826,Sign Face,AHEAD,W16-9P
112,3111005.353249236,1214818.686469672,5426.763932049653,Sign Face,AHEAD,W16-9P
113,3116183.02949003,1210223.491709743,5434.035915703356,Sign Face,,W11-2
114,3115125.677621337,1212193.368201951,5448.10495383817,Sign Face,COMMERCE,D3-1
115,3116081.614414143,1211921.21682927,5440.083110835532,Sign Face,120TH AVE,D3-1
116,3112887.486072672,1214465.681298366,5436.434670892934,Sign Face,,W1-8R
117,3111402.878952412,1214569.166118719,5448.271112795254,Sign Face,,
118,3116186.083644693,1211866.434281663,5437.843527888835,Sign Face,120TH AVE,D3-1
119,3117153.162134683,1211924.208507127,5416.375442080081,Sign Face,,
120,3117145.611251912,1211922.655798285,5426.699318240861,Sign Face,RAILROAD CROSSING,R15-1
121,3117058.656352823,1211857.725975999,5424.80805256484,Sign Face,120th AVE,D3-1
122,3110503.372532988,1215052.871968532,5412.143017020603,Sign Face,AHEAD,W11-2
123,3115085.722101521,1212975.990728705,5422.217915222228,Sign Face,,R2-1
124,3116731.09446053,1211875.766954901,5422.176035612008,Sign Face,,
125,3113364.785246357,1214152.726163072,5430.734913825572,Sign Face,,R2-1
126,3116142.659060139,1210537.108057908,5439.850717327178,Sign Face,,
127,3115165.371619648,1212246.145484361,5443.939891279122,Sign Face,,W1-2
128,3115141.191894001,1212977.351601711,5420.630864161233,Sign Face,,
129,3115125.681225768,1212193.315336961,5448.978778084895,Sign Face,COMMERCE ST,D3-1
130,3112699.327557657,1214373.769905951,5430.699013440987,Sign Face,,
131,3117331.145741047,1211924.618210801,5411.717841200411,Sign Face,NO TRAIN HORN,W10-9
132,3115076.445497212,1213089.014475856,5415.720730952799,Sign Face,,M6-1L
133,3114516.916833678,1213468.946349839,5420.474706561943,Sign Face,LIMITED SIGHT DISTANCE,W7-8
134,3115830.668310424,1211051.122768296,5454.317839382668,Sign Face,NO DUMPING,R5-3
135,3114600.560862507,1213427.505804388,5421.407603430332,Sign Face,,W1-8R
136,3115500.463969604,1211691.206463161,5450.613860068302,Sign Face,,
137,3115667.349932942,1214011.263454128,5405.138699926119,Sign Face,,W11-2
138,3116635.750047688,1211876.662856288,5426.390961033087,Sign Face,R R,W10-1
139,3111578.161237874,1214452.319271592,5457.397453469614,Sign Face,,W1-8R
140,3115190.561387002,1213183.883103786,5433.780104343475,Sign Face,RAILROAD CROSSING,R15-1
141,3115659.795846231,1213921.493093817,5403.519252788604,Sign Face,,
142,3111543.700272857,1214526.081952663,5452.687087722798,Sign Face,,R2-1
143,3112406.284501525,1214451.144227037,5442.214230754356,Sign Face,NO PARKING ANYTIME,R7-1
144,3115060.184706807,1212766.15356277,5424.602293362201,Sign Face,,
145,3115703.147541177,1214086.508757879,5404.5866963136,Sign Face,,D3-1
146,3115165.596696349,1212246.005312038,5446.150238284251,Sign Face,,W1-6
147,3112778.072764058,1214361.276146592,5435.347809746643,Sign Face,,
148,3115085.531467162,1212976.007549383,5420.328983665685,Sign Face,DO NOT ENTER,R5-1
149,3110482.178277567,1215103.573499091,5411.136029067417,Sign Face,,R2-1
150,3112762.324603861,1214499.231343532,5434.955133254906,Sign Face,,
151,3115182.04411619,1213230.278540594,5417.419697723766,Sign Face,LEFT LANE MUST TURN LEFT,R3-7L
152,3115366.979068277,1211815.293811489,5452.049420986752,Sign Face,,R2-1
153,3115084.385258056,1212850.440381821,5425.696954722783,Sign Face,,M6-1L
154,3112251.193438394,1214446.834929348,5446.037541927079,Sign Face,NO PARKING ANY TIME,R7-1
155,3115171.297304463,1212228.85462763,5443.937477374057,Sign Face,,M6-1
156,3115084.005591308,1212850.365890244,5423.533954987109,Sign Face,Recycling Center,D1-1
157,3117041.898150919,1211919.928445379,5417.938322801968,Sign Face,,OM3
158,3115228.013028645,1213409.39393834,5423.25684869804,Sign Face,207,M1-4
159,3115788.399546793,1211218.59585342,5456.817373935362,Sign Face,,
160,3115384.247497436,1211906.423843329,5454.249370835007,Sign Face,120TH AVE,D3-1
161,3115208.878705626,1213173.584843491,5426.4691790664,Sign Face,RAILROAD CROSSING,R15-1
162,3112206.711153543,1214418.428006944,5441.97585019825,Sign Face,,R2-1
163,3116127.824022501,1211859.9823499,5433.795235445083,Sign Face,,
164,3115085.450167215,1212936.511794786,5422.477421749811,Sign Face,DO NOT ENTER,R5-1
165,3110755.238567636,1214934.556916449,5433.574582933168,Sign Face,CROSSWALK STOP ON RED STOP ON FLASHING RED & THEN PROCEED IF CLEAR,Unknown
166,3115280.637723469,1211953.731601711,5453.572376063049,Sign Face,,W11-2
167,3115120.884929381,1213208.125706732,5418.959925597092,Sign Face,,W11-1
168,3117041.771595336,1211919.6132579,5420.169475071808,Sign Face,,W1-7
169,3111343.944700856,1214528.836539048,5448.36941332974,Sign Face,,
170,3115200.220861999,1211904.892360581,5449.099681406399,Sign Face,,W1-8R
171,3115900.806535725,1211036.28132278,5455.063215876798,Sign Face,,
172,3110782.792841827,1214940.976007839,5421.520886446218,Sign Face,,W11-15
173,3116082.870358153,1211921.10949732,5439.101383624455,Sign Face,,D3-1
174,3116927.146679768,1211920.362579087,5422.066679298461,Sign Face,SPEED LIMIT 25,R2-1
175,3116894.566627074,1211875.678446091,5421.329244598925,Sign Face,CARROLLALA AVENUE,D3-1
176,3111762.48003248,1214479.180293524,5457.005010859152,Sign Face,CURVE AHEAD,W1-2
177,3111477.681311624,1214522.70580215,5449.191107865156,Sign Face,RIGHT TURN ONLY,R3-5R
178,3115182.881545694,1213231.788396755,5426.631115645151,Sign Face,RAILROAD CROSSING,R15-1
179,3115304.541509887,1213385.480540106,5424.587008947115,Sign Face,,R4-7
