OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude,matched,match_idx,match_distance,Source,File2_Lat,File2_Lon
950,1473426.466,313342.2783,1120.752774,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-52d31f72-44e5-46cd-8f30-c7fc2ea587f2,"80.8
EB",K2-1,20.71082517,3.460670043,,125.5676101,-79.52191905,40.17985378,True,1124,3.1282049861157253,File 1,40.17987669,-79.52189768
951,1473432.185,313350.277,1122.203507,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-3d6cc5a0-62c5-4de7-b708-78cdb00d5bcd,"80.8
EB",D10-1,0.410622969,1.722447199,,-0.476591442,-79.52189916,40.17987605,True,1125,0.14447655992400196,File 1,40.17987669,-79.52189768
954,1475780.503,312151.0122,1165.603962,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a70e0512-5da0-49c5-b030-891336fc8540,MILE 813,D10-1,8.407669667,9.471387518,,20.01397655,-79.51341083,40.17671364,True,281,3.4883502637726433,File 1,40.176739,-79.513435
955,1492390.934,302177.7715,1426.266085,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-72476e12-d85b-4bf5-8256-f40770b0c1a5,"MILE
85
5
.1",D10-1,0.578300003,4.040654147,,-1.255147779,-79.45328984,40.15023634,True,402,0.43899096456106096,File 1,40.150234,-79.453294
963,1458141.781,324701.4845,1020.215277,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4d4726f4-2796-4e52-b5e0-e4ad1f00d745,SPORTSMAN ROAD,D3-1,10.42903513,2.408119827,,104.012859,-79.57745031,40.21017432,True,692,0.48392239022617073,File 1,40.21017,-79.577451
964,1501002.749,299945.2133,1742.054016,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-513ac301-2043-4765-b672-fd8eb207d1b7,"MILE
87
2",D10-1,0.860012638,2.726242165,,-53.6079435,-79.4223371,40.14456066,True,836,0.0853317998833348,File 1,40.144561,-79.422338
965,1440371.455,342408.943,1133.848874,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-68aca39f-4d29-4f5b-b94a-dac893515a70,STOP,R1-1,0.748170065,1.664838878,,-160.2600083,-79.64242026,40.25774454,True,738,0.3253475631187606,File 1,40.257743,-79.642417
967,1493923.574,302334.533,1467.539525,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-9b6dc450-5052-4294-aab0-e8f96d27f6e7,,W1-8R,2.205086632,3.813342668,,-128.8063755,-79.44781892,40.1507476,True,666,0.2822128109365511,File 1,40.15075,-79.44782
968,1448022.724,331782.0323,1030.466229,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-7bb3af66-0b90-4be8-b281-4bb80bf54f63,MILE 74.7,D10-1,0.955973676,3.545921332,,132.7698008,-79.6142083,40.22902619,True,352,0.09359942416855514,File 1,40.229027,-79.614208
972,1449797.77,330228.7595,996.8500023,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-9113a2b4-8118-4891-b7e8-98b4fa18be2e,,W4-1,5.322185082,4.451493593,,135.7955814,-79.60773542,40.22486596,True,374,1.1859342075815154,File 1,40.224863,-79.607722
973,1505619.411,293229.8427,1815.419458,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-740fb5ac-7dc8-454f-a7d4-c7931f034430,"ATTRACTIONS - EXIT 91
Seton Hill University
Saint Vincent College
DIRECTIONS AT EXIT",D5-1,13.12750409,14.23689918,,139.9936798,-79.40537597,40.12636832,True,838,0.17091700047990024,File 1,40.126367,-79.405377
974,1441678.304,337626.3146,1028.01882,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4a88c2b5-5d5f-4a29-ac68-86a0243d83c0,"73
0",D10-1,1.320958703,1.178778834,,-31.78173818,-79.63737271,40.24469566,True,783,0.6388158687031776,File 1,40.24469,-79.637374
977,1469064.368,317777.8128,1073.886758,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-94cca76e-1c5c-4bd7-8f15-5354110ed291,79.6,D10-1,0.644855016,2.056412451,,-50.96769242,-79.53784855,40.19178592,True,239,0.499127916128197,File 1,40.19179,-79.537851
978,1482718.196,308101.8952,1206.010887,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2abdf748-845e-46b7-bd63-8a7199b09b6f,,W1-8L,2.942732529,4.475448433,,-48.6437224,-79.48830252,40.16597818,True,538,0.04543325006433536,File 1,40.165978,-79.488303
979,1442044.366,337011.6582,1053.018253,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-1d1986c5-1091-45d3-ac41-f37c60e299c8,SEANOR CHURCH RD,D3-1,10.55684851,1.661121417,,149.6005436,-79.63601465,40.24303024,True,1072,0.2741686367101339,File 1,40.243028,-79.636016
980,1476264.692,311954.5275,1181.603581,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b43feb9c-df0f-4ca0-a92f-cba05688ce17,MILE 81.4,D10-1,0.537996549,3.44322203,,90.67807043,-79.51166438,40.17620091,True,290,0.40534830119454707,File 1,40.1762,-79.511669
981,1460098.199,323493.8431,1028.674326,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-92d65c5e-3938-402c-b6e1-01fe78a64a1e,No Parking,R8-3,2.09982989,3.07297663,,121.8974432,-79.57035779,40.20697086,True,1176,0.5912019569913857,File 1,40.20697481,-79.57036245
982,1497464.68,303926.1377,1591.37554,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-ea3f82d9-3036-4dfb-a05f-cfc0b032e451,,W1-8R,3.169035737,4.036399698,,97.45214403,-79.43526218,40.15530209,True,118,0.26014675223615435,File 1,40.155303,-79.435265
983,1502782.198,298787.3158,1774.433343,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-316381e7-541e-4b33-ba86-88393f1ee498,"MILE
87.6",D10-1,0.549754754,3.693340454,,-133.6106947,-79.41589502,40.141475,True,612,0.8131062248281877,File 1,40.14148,-79.415902
