OBJECTID,ACTUAL_TEXT,AGREEMENT_CONTACT_INFO,CC_LATITUDE,CC_LONGITUDE,CC_OWNER_ID_SECTION,CC_SIGN_AGE,CC_SIGN_BACKGRD_COLOR_ID,CC_SIGN_BCK_STAMP,CC_SIGN_BORDER_COLOR_ID,CC_SIGN_COMP_CLASS_ID,CC_SIGN_DESCRIPTON,CC_SIGN_DIMENSIONS,CC_SIGN_DIR_ID,CC_SIGN_DIST_ED_OF_PAVE,CC_SIGN_FACI_ID,CC_SIGN_FAC_TYP_SIGN_ID,CC_SIGN_FUNC_LOC_ID,CC_SIGN_GROUND_MOUND_TYP_ID,CC_SIGN_INSPECTION_CMT_ID,CC_SIGN_INSPECTION_COND_ID,CC_SIGN_INSP_DATE,CC_SIGN_INT_LOC_ID,CC_SIGN_ITS_TYP_ID,CC_SIGN_LEGEND_COLOR_ID,CC_SIGN_MATERIAL_ID,CC_SIGN_MIN_LOC_ID,CC_SIGN_MM,CC_SIGN_MSR_ID,CC_SIGN_NOMENCLATURE_ID,CC_SIGN_NO_POST_GRD_MNT_ID,CC_SIGN_PENNDOT_MAT_NUM_ID,CC_SIGN_POST_MSR_ID,CC_SIGN_PTC_MAT_NUM_ID,CC_SIGN_PTC_PENNDOT_NUM_ID,CC_SIGN_RECON_COMM,CC_SIGN_RECON_PROJ,CC_SIGN_REFLECTIVITY_ID,CC_SIGN_SAP_EQIP_NBR,CC_SIGN_SHEETING_ID,CC_SIGN_SIZE,CC_SIGN_STATION,CC_SIGN_STR_MOUNT_TYPE_ID,CC_SIGN_TMP_OBJECTID,CC_SIGN_TMP_PHOTOB,CC_SIGN_TMP_PHOTOF,CC_SIGN_TP_LANE,COMMENT_ID,COMMENT_STR,DATE_UPDATE,EASTING,FABRICATION_AGREEMENT,INSTALL_AGREEMENT,INTERFACE_TRIGGER_DATE,IS_BREAKAWAY,JURISDICTION,LAT,LOAD_DATE,LOC_IDENT,NORTHING,NOTES,ORIGIN,ORIG_KEY,OWNER_ID,OWNER_NET,PERIODIC_MAINT_ID,POSITION_NAME,QA_DATA_FLAG,QA_PHOTO_FLAG,READABLE_TRAVEL_DIR,REPLACED,RETIRED,SIGN_CLASS_CODE_ID,SIGN_CURRENT_CONDITION,SIGN_NAME,SIGN_STATUS_ID,SIGN_SUPPORT_H_ID,SIGN_SUPPORT_ID,SIZE_HEIGHT,SIZE_UNIT_ID,SIZE_WIDTH,SUP_EXT_CD,SYMBOL,TRAVEL_DIRECTION,USER_UPDATE,VARIABLE_SIGN_HEIGHT,VARIABLE_SIGN_WIDTH
5966,,,40.31051,-79.677821,1530,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",1,5.45620012283325,,3,1014,5,11,2,2017/10/15 00:00:00+00,5,4,8,3,8,67.4,3735,5054,2,,3735,,1464,,,3,1013210,1,12 X 48,,8,,,Images/TEBMain/8716836686471597023-STO.jpg,0,74549,"67.4",2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38213357,,,,,1520,,,,,,,,,100327,,EB/Shoulder/N/A/067.40/Double-DigitIntermediateReferenceLocationSign#117663,1185,,,48,,12,,,,LRS_POST,,
5967,,,40.274274,-79.668385,1530,,4,0,8,3,Enhanced Reference Location With Decimal Sign,"7.5",1,60.3250999450684,,3,1014,5,11,2,2017/10/15 00:00:00+00,5,4,8,3,3,70,3739,5057,2,,3739,,1467,,,3,1013214,1,18 X 60,,8,,,Images/TEBMain/5842680657618137395-STO.jpg,0,74550,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38213358,,,,,1520,,,,,,,,,100327,,EB/Median/N/A/070.00/EnhancedReferenceLocationWithDecimalSign#117667,1185,,,60,,18,,,,LRS_POST,,
5968,,,40.274273,-79.668385,1530,,4,0,8,3,Enhanced Reference Location With Decimal Sign,"7.5",4,0.592700004577637,,3,1015,9,11,2,2017/10/15 00:00:00+00,5,4,8,3,3,70,3740,5057,1,,3740,,1467,,,3,1013215,1,18 X 60,,8,,,Images/TEBMain/2533223673116263782-STO.jpg,0,74551,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38224273,,,,,1520,,,,,,,,,100327,,WB/Median/N/A/070.00/EnhancedReferenceLocationWithDecimalSign#117668,1185,,,60,,18,,,,LRS_POST,,
5969,,,40.264126,-79.657825,1530,,4,0,8,3,Enhanced Reference Location With Decimal Sign,"7.5",4,0.700999975204468,,3,1015,9,11,2,2017/10/15 00:00:00+00,5,4,8,3,3,71,3742,5057,1,,3741,,1467,,,3,1013217,1,18 X 60,,8,,,Images/TEBMain/765265776114855050-STO.jpg,0,74552,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38224274,,,,,1520,,,,,,,,,100327,,WB/Median/N/A/071.00/EnhancedReferenceLocationWithDecimalSign#117670,1185,,,60,,18,,,,LRS_POST,,
5970,,,40.171854,-79.502345,1527,,4,0,8,3,Enhanced Reference Location With Decimal Sign,"7.5",1,1.23529994487762,,3,1016,5,6,4,2017/10/15 00:00:00+00,5,4,8,3,3,82,3743,5057,2,,3743,,1467,,,3,1015813,1,18 X 60,,8,,,Images/TEBMain/3075572716202627341-STO.jpg,0,74553,"82",2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38213361,,,,,1520,,,,,,,,,100327,,EB/Median/N/A/082.00/EnhancedReferenceLocationWithDecimalSign#117671,1185,,,60,,18,,,,LRS_POST,,
5971,,,40.171854,-79.502345,1527,,4,0,8,3,Enhanced Reference Location With Decimal Sign,"7.5",4,1.23529994487762,,3,1017,9,6,4,2017/10/15 00:00:00+00,5,4,8,3,3,82,3744,5057,1,,3744,,1467,,,3,1015814,1,18 X 60,,8,,,Images/TEBMain/2583467148420584548-STO.jpg,0,74554,"82",2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38224275,,,,,1520,,,,,,,,,100327,,WB/Median/N/A/082.00/EnhancedReferenceLocationWithDecimalSign#117672,1185,,,60,,18,,,,LRS_POST,,
5972,,,40.155056,-79.43473,1527,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",1,60.4767990112305,,3,1016,5,11,2,2017/10/15 00:00:00+00,5,4,8,3,8,86.2,3745,5054,2,,3745,,1464,,,3,1015815,1,12 X 48,,8,,,Images/TEBMain/1916468598517806031-STO.jpg,0,74555,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38213363,,,,,1520,,,,,,,,,100327,,EB/Shoulder/N/A/086.20/Double-DigitIntermediateReferenceLocationSign#117673,1185,,,48,,12,,,,LRS_POST,,
5973,,,40.125124,-79.403039,1527,,4,0,8,3,Enhanced Reference Location With Decimal Sign,"7.5",1,55.8274002075195,,3,1016,5,11,2,2017/10/15 00:00:00+00,5,4,8,3,3,89,3748,5057,2,,3748,,1467,,,3,1015818,1,18 X 60,,8,,,Images/TEBMain/16229415713623512-STO.jpg,0,74556,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38213364,,,,,1520,,,,,,,,,100327,,EB/Median/N/A/089.00/EnhancedReferenceLocationWithDecimalSign#117676,1185,,,60,,18,,,,LRS_POST,,
5975,,,40.154226,-79.432466,1527,,9,0,11,1,Chevron Alignment Sign,"12.0",1,1.30840003490448,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,1,3,3,86.34,3724,6212,2,,3724,,2992,,,1,1015805,1,36 X 48,,8,,,Images/TEBMain/3575954296355662616-STO.jpg,0,74541,,2024/02/28 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38213349,,,,,1520,,,,,,,,,100345,,EB/Median/N/A/086.34/ChevronAlignmentSign#117652,1185,,,48,,36,,,,LRS_POST,,
5976,,,40.154008,-79.432216,1527,,9,0,11,1,Chevron Alignment Sign,"12.0",1,1.30840003490448,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,1,3,3,86.36,3725,6212,2,,3725,,2992,,,1,1015806,1,36 X 48,,8,,,Images/TEBMain/2609168357785101063-STO.jpg,0,74542,,2024/02/28 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38213350,,,,,1520,,,,,,,,,100345,,EB/Median/N/A/086.36/ChevronAlignmentSign#117653,1185,,,48,,36,,,,LRS_POST,,
