OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude
1075,1441401.72,337868.7631,1039.214183,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b2bc733c-7294-4f76-8d32-47dfecbb8f7e,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10a,32.18596196,7.13813473,,106.4160109,-79.63838186,40.24534482
1076,1441395.62,337868.6189,1039.004826,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-5dec6804-52be-4afe-8b40-a9daca5511d9,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10,21.69348165,6.753597932,,130.7598598,-79.63840369,40.24534407
1077,1441398.388,337867.4046,1039.570271,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-3526e44f-15b2-4745-81d2-d989a14ce635,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-14,24.95957968,5.712758989,,-61.67990819,-79.63839369,40.2453409
1078,1441395.287,337872.8097,1038.718274,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-67036822-4b31-4ad4-853b-b79f251c0900,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10a,19.14620012,5.422887788,,145.4316654,-79.63840521,40.24535555
1079,1441392.557,337871.6819,1038.990358,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-3f5779c2-5723-4d5f-9a8f-88c099039168,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10a,14.79656065,8.003991369,,141.2374619,-79.6384149,40.24535229
1080,1464035.401,320806.8438,1028.361341,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a9177183-10bc-43e1-8eba-4ee521bef383,EMERGENCY STOPPING →,D1-1a,3.55282083,3.34335981,,-46.10864333,-79.55606766,40.19981827
1081,1438063.85,344219.7259,1089.756168,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4b301402-eafc-4494-ac26-e804299401b4,"MILE
7
4",D10-1,0.583504692,3.867655532,,47.78191757,-79.65082609,40.26257808
1082,1449248.423,330861.7265,1013.109741,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-23d2223c-137a-4243-b3c5-ce2456107458,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-14,3.5763302,5.187890689,,-58.33232792,-79.60975007,40.22657138
1083,1478463.603,310698.7885,1181.487689,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2541eb65-02ca-4c54-ab1e-3a5ed5be1426,"MILE
819",D10-1,1.302464384,2.93057696,,3.393254587,-79.50370752,40.1728746
1084,1432467.838,358571.9908,1123.392269,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e3722deb-2c8c-4d0b-923a-ddb724d95832,"MILE
68
.1",D10-1,0.8775992,3.608127884,,166.7143941,-79.67199236,40.30163423
